,event_id,utc_time,ra_deg,dec_deg,pos_error_deg,signal_strength,source,event_type
0,bn170827818,2017-08-27 19:38:04.464759,48.79,-65.38,6.46,5.9533,HEASARC,GRB
1,bn170906485,2017-09-06 11:38:16.838563,34.86,-62.28,6.58,1.84493,HEASARC,GRB
2,bn170912273,2017-09-12 06:33:46.913846,215.459,-61.9967,0.002,10.5219,HEASARC,GRB
3,bn170727841,2017-07-27 20:10:57.781315,218.85,-61.84,8.89,2.53784,HEASARC,GRB
4,bn170825784,2017-08-25 18:49:11.041334,116.32,-48.72,2.21,5.20216,HEASARC,GRB
5,bn170906030,2017-09-06 00:43:08.151744,203.955,-47.1007,0.0014,25.0046,HEASARC,GRB
6,bn170803415,2017-08-03 09:57:44.255779,352.69,-46.33,4.21,8.20962,HEASARC,GRB
7,bn170801690,2017-08-01 16:33:43.396272,343.18,-41.75,9.13,2.73822,HEASARC,GRB
8,bn170802638,2017-08-02 15:18:24.801293,52.3,-39.21,2.05,22.3178,HEASARC,GRB
9,bn170915161,2017-09-15 03:51:30.156653,120.26,-38.42,1.21,7.44167,HEASARC,GRB
10,bn170923101,2017-09-23 02:25:00.800026,120.12,-35.33,4.89,2.67135,HEASARC,GRB
11,bn170718152,2017-07-18 03:39:30.167741,102.27,-35.0,7.35,4.25186,HEASARC,GRB
12,bn170726249,2017-07-26 05:58:15.419625,166.42,-34.0,2.83,4.18523,HEASARC,GRB
13,bn170826819,2017-08-26 19:38:56.478509,327.7,-31.8,1.0,29.9648,HEASARC,GRB
14,bn170711019,2017-07-11 00:26:52.776009,66.69,-30.69,15.0,3.02728,HEASARC,GRB
15,bn170730133,2017-07-30 03:11:44.586989,323.91,-29.75,4.23,9.42276,HEASARC,GRB
16,bn170910368,2017-09-10 08:50:00.358426,197.65,-29.71,6.55,4.93727,HEASARC,GRB
17,bn170906039,2017-09-06 00:55:40.851264,232.204,-28.2563,0.0006,13.2636,HEASARC,GRB
18,bn170829414,2017-08-29 09:56:30.579302,340.08,-28.23,3.18,5.30391,HEASARC,GRB
19,bn170926782,2017-09-26 18:46:05.164349,344.12,-26.25,5.07,7.39554,HEASARC,GRB
20,bn170825307,2017-08-25 07:22:01.418650,274.44,-26.17,3.2,5.28011,HEASARC,GRB
21,bn170901345,2017-09-01 08:16:54.377357,135.43,-24.78,12.16,2.0691,HEASARC,GRB
22,bn170817529,2017-08-17 12:41:06.474624,197.45,-23.3815,0.0,3.13589,HEASARC,GRB
23,bn170705200,2017-07-05 04:48:30.103833,359.51,-21.94,2.11,3.71831,HEASARC,GRB
24,bn170723076,2017-07-23 01:49:10.404768,135.94,-19.44,12.89,1.86631,HEASARC,GRB
25,bn170715878,2017-07-15 21:04:13.314173,287.22,-16.61,7.81,2.88645,HEASARC,GRB
26,bn170803729,2017-08-03 17:30:27.111830,174.935,-16.312,0.001,13.3597,HEASARC,GRB
27,bn170816258,2017-08-16 06:11:11.879837,10.7,-15.61,4.04,3.2726,HEASARC,GRB
28,bn170901255,2017-09-01 06:07:47.452685,117.51,-13.23,7.62,4.3751,HEASARC,GRB
29,bn170923566,2017-09-23 13:35:34.051258,228.3,-10.78,14.76,1.65195,HEASARC,GRB
30,bn170915520,2017-09-15 12:28:16.266144,259.83,-10.56,5.79,4.69894,HEASARC,GRB
31,bn170705244,2017-07-05 05:50:45.356755,237.61,-7.43,8.58,3.25845,HEASARC,GRB
32,bn170926528,2017-09-26 12:39:41.225127,146.53,-5.57,8.18,5.86205,HEASARC,GRB
33,bn170813051,2017-08-13 01:13:08.803257,201.058,-5.49079,0.00078,3.03573,HEASARC,GRB
34,bn170830135,2017-08-30 03:14:01.948733,267.244,-2.0,0.09,7.43989,HEASARC,GRB
35,bn170901007,2017-09-01 00:10:03.019210,23.97,-1.6,18.35,3.59637,HEASARC,GRB
36,bn170808936,2017-08-08 22:27:43.098249,145.66,2.18,0.34,197.946,HEASARC,GRB
37,bn170709334,2017-07-09 08:00:23.979427,310.04,2.2,7.49,5.61315,HEASARC,GRB
38,bn170918139,2017-09-18 03:20:22.879766,36.56,3.52,17.81,3.90822,HEASARC,GRB
39,bn170810918,2017-08-10 22:01:41.584656,187.939,3.6603,0.0005,3.48343,HEASARC,GRB
40,bn170818137,2017-08-18 03:17:19.979434,297.22,6.35,11.54,10.1628,HEASARC,GRB
41,bn170726794,2017-07-26 19:02:59.975808,297.78,6.62,3.45,7.95586,HEASARC,GRB
42,bn170916700,2017-09-16 16:47:31.331789,98.43,7.17,7.93,6.38412,HEASARC,GRB
43,bn170912985,2017-09-12 23:38:12.672528,83.57,7.2,16.51,3.11797,HEASARC,GRB
44,bn170816599,2017-08-16 14:23:03.954999,350.841,12.853,0.5,23.3563,HEASARC,GRB
45,bn170722525,2017-07-22 12:36:13.826765,50.04,14.29,4.49,3.24602,HEASARC,GRB
46,bn170711713,2017-07-11 17:06:36.477043,278.61,17.24,7.96,4.27988,HEASARC,GRB
47,bn170705115,2017-07-05 02:45:51.031786,191.704,18.3074,0.0005,25.2673,HEASARC,GRB
48,bn170830069,2017-08-30 01:38:44.226643,353.0,18.31,4.62,4.10495,HEASARC,GRB
49,bn170821265,2017-08-21 06:22:00.847862,252.86,19.11,3.96,2.95512,HEASARC,GRB
50,bn170708046,2017-07-08 01:06:11.255731,335.835,19.798,0.5,21.9393,HEASARC,GRB
51,bn170825500,2017-08-25 12:00:05.997542,3.64,20.12,3.76,33.8162,HEASARC,GRB
52,bn170929699,2017-09-29 16:46:16.238007,28.01,21.02,3.94,7.57149,HEASARC,GRB
53,bn170826369,2017-08-26 08:51:07.514208,64.338,21.074,0.856,10.6318,HEASARC,GRB
54,bn170803172,2017-08-03 04:07:15.747802,76.5,23.97,13.3,3.23704,HEASARC,GRB
55,bn170714049,2017-07-14 01:10:51.123043,18.2,29.54,5.35,4.12384,HEASARC,GRB
56,bn170911267,2017-09-11 06:24:22.793558,72.1,30.914,0.4,2.10683,HEASARC,GRB
57,bn170929513,2017-09-29 12:18:59.265389,192.88,32.3,2.59,7.4206,HEASARC,GRB
58,bn170830328,2017-08-30 07:51:51.112656,219.95,32.41,4.07,6.32343,HEASARC,GRB
59,bn170804911,2017-08-04 21:52:21.456912,261.26,34.14,3.86,8.61666,HEASARC,GRB
60,bn170903534,2017-09-03 12:49:07.789411,254.532,34.985,0.027,6.53142,HEASARC,GRB
61,bn170928607,2017-09-28 14:34:47.264822,304.09,35.74,8.24,4.52889,HEASARC,GRB
62,bn170805901,2017-08-05 21:37:49.588810,243.97,36.38,13.47,2.84045,HEASARC,GRB
63,bn170723882,2017-07-23 21:10:18.252135,212.58,39.83,14.59,2.20085,HEASARC,GRB
64,bn170829674,2017-08-29 16:10:03.157651,326.59,40.65,3.56,4.1391,HEASARC,GRB
65,bn170717952,2017-07-17 22:51:21.950150,337.69,41.11,8.17,2.397,HEASARC,GRB
66,bn170710340,2017-07-10 08:10:07.995648,43.122,42.679,0.017,3.25294,HEASARC,GRB
67,bn170711931,2017-07-11 22:20:25.302883,45.786,47.85,0.05,8.33345,HEASARC,GRB
68,bn170724543,2017-07-24 13:02:30.899530,172.02,49.56,5.25,3.29781,HEASARC,GRB
69,bn170831179,2017-08-31 04:18:11.131546,158.71,49.8,1.61,28.4009,HEASARC,GRB
70,bn170817908,2017-08-17 21:47:34.433865,83.03,50.07,3.69,9.76939,HEASARC,GRB
71,bn170921168,2017-09-21 04:02:11.510851,132.375,57.057,1.0,48.4404,HEASARC,GRB
72,bn170808065,2017-08-08 01:34:09.389626,3.33,62.29,2.0,7.50122,HEASARC,GRB
73,bn170723677,2017-07-23 16:15:27.855245,22.07,62.68,12.63,2.32811,HEASARC,GRB
74,bn170731751,2017-07-31 18:01:39.749751,245.21,64.28,6.3,2.56749,HEASARC,GRB
75,bn170728961,2017-07-28 23:03:19.434413,237.981,70.1222,0.04,20.8639,HEASARC,GRB
76,bn170923188,2017-09-23 04:31:05.436941,221.53,81.21,5.03,5.69308,HEASARC,GRB
